,first,second,label
0,Di Piipl dem iina Jiizas Fambili  (Luuk .-)  Dis a di lis a Krais Jiizas faada faada dem go bak.,Di guol?,0
1,Jiizas did kom fram Dievid an Iebriyam fambili.,"Da wie de, nobadi naa fi nuo se unu gi we notn, an unu Faada we si tingz we nobadi els no nuo bout, im wi gi unu wa unu fi get”.",0
2,"Iebriyam did a Aizak faada,  an Aizak did a Jiekob faada,  Jiekob pikni dem a did Juuda an Juuda breda dem.","Wen yu Fiil fi Du Sumadi bak Sitn  (Luuk .-)  “Unu did ier se Gad se, ‘Ef sumadi juk out yu yai, yu kyan juk out fi dem uon, an ef dem lik out yu tiit, yu kyan tomp out bak fi dem uon.’ Bot ier wa mi a tel unu se, di piipl dem we du aal saat a wikidnis tu unu, lou dem mek dem gwaan.",0
3,"Juuda a did Perez an Ziira faada ,  Perez pikni a did Ezran  an Ezran pikni a did Ram.","An unu faada we nobadi kyaahn si, wi si wa unu du, an gi unu wa unu fi get.",0
4,"Aminadab a did Ram pikni,  an fi Aminadab pikni a did Nieshan,  an Saman a did fi Nieshan pikni.","Wen Jiizas kom outa di buot, im si di iip a piipl dem, an did fiil sari fi dem an im mek aal a uu did sik fi dem get bak beta.",0
5,"Saman a did Buowaz faada ,  Buowaz a did Uobed faada .",Dem naa get paadn iina da laif ya ar di laif we a-go kom.,0
6,"Jesi a did Uobed pikni,  an Jesi did a king Dievid faada.","Bot di wan we na'av notn, aal we im av a-go get tek we fram im.",0
7,"Dievid did a Salaman faada ,  Salaman pikni a did Reyobuom,  Reyobuom a did Abija faada,  an Abija a did Asa faada.","A da taim de, dem wi kip we fram fuud.",0
8,"Asa pikni a did Jeyoshafat,  Jeyoshafat a did fi Juoram faada,  Juoram pikni did a Uziya.","An som piipl aks Jiizas, “Bies pan Muoziz Laa, it aarait fi piipl get iil pan di Sabat die?” Dem aks im dat kaa dem did a luk fi wan riizn fi se im did a brok di Laa.",0
9,"Uziya pikni a did Juotam,  Juotam a did fi Ayaz faada,  an Ayaz did a Ezikaiya faada.","So im aks dem se, ‘Wa mek unu tan op ya-so uol die naa du notn?’  “Dem ansa bak, ‘Kaaz nobadi naa gi wi no wok sa.’  “So im se tu dem se, ‘Unu gwaan go wok pan mi griep faam tu.’  “Wen iivnin kom dong nou di faam uona se tu im manija se, ‘Kaal di wokman dem an pie dem.",0
10,Ezikaiya a did fi Manase faada  an Manase a did Ieman faada.,"Dem tek out di prezent we dem did bring, an gi di pikni — guol, frangkinsens an mor.",0
11,"Ieman pikni did a Josaiya,  an Josaiya a did fi Jekonaiya faada plos im did av som ada bwai pikni.",Siem taim som piipl bring wan kripl man kom tu im pan wan chrecha.,0
12,Dis a roun di taim wen di Babiluoniyan dem did tek we di Izrel piipl dem an fuos dem fi go wok a Babilan.,Dem jos shuo aaf!,0
