,first,second,label
0,Di Piipl dem iina Jiizas Fambili  (Luuk .-)  Dis a di lis a Krais Jiizas faada faada dem go bak.,Jiizas did kom fram Dievid an Iebriyam fambili.,1
1,Jiizas did kom fram Dievid an Iebriyam fambili.,"Iebriyam did a Aizak faada,  an Aizak did a Jiekob faada,  Jiekob pikni dem a did Juuda an Juuda breda dem.",1
2,"Iebriyam did a Aizak faada,  an Aizak did a Jiekob faada,  Jiekob pikni dem a did Juuda an Juuda breda dem.","Juuda a did Perez an Ziira faada ,  Perez pikni a did Ezran  an Ezran pikni a did Ram.",1
3,"Juuda a did Perez an Ziira faada ,  Perez pikni a did Ezran  an Ezran pikni a did Ram.","Aminadab a did Ram pikni,  an fi Aminadab pikni a did Nieshan,  an Saman a did fi Nieshan pikni.",1
4,"Aminadab a did Ram pikni,  an fi Aminadab pikni a did Nieshan,  an Saman a did fi Nieshan pikni.","Saman a did Buowaz faada ,  Buowaz a did Uobed faada .",1
5,"Saman a did Buowaz faada ,  Buowaz a did Uobed faada .","Jesi a did Uobed pikni,  an Jesi did a king Dievid faada.",1
6,"Jesi a did Uobed pikni,  an Jesi did a king Dievid faada.","Dievid did a Salaman faada ,  Salaman pikni a did Reyobuom,  Reyobuom a did Abija faada,  an Abija a did Asa faada.",1
7,"Dievid did a Salaman faada ,  Salaman pikni a did Reyobuom,  Reyobuom a did Abija faada,  an Abija a did Asa faada.","Asa pikni a did Jeyoshafat,  Jeyoshafat a did fi Juoram faada,  Juoram pikni did a Uziya.",1
8,"Asa pikni a did Jeyoshafat,  Jeyoshafat a did fi Juoram faada,  Juoram pikni did a Uziya.","Uziya pikni a did Juotam,  Juotam a did fi Ayaz faada,  an Ayaz did a Ezikaiya faada.",1
9,"Uziya pikni a did Juotam,  Juotam a did fi Ayaz faada,  an Ayaz did a Ezikaiya faada.",Ezikaiya a did fi Manase faada  an Manase a did Ieman faada.,1
10,Ezikaiya a did fi Manase faada  an Manase a did Ieman faada.,"Ieman pikni did a Josaiya,  an Josaiya a did fi Jekonaiya faada plos im did av som ada bwai pikni.",1
