,first,second,label
0,Disfala toktok ya hemi abaotem laen blong Jisas Kraes.,Yu no tok olsem.,0
1,"Jisas hemi bon kam long laen blong King Deved, an Deved hemi bon kam long laen blong Ebraham.",Olketa king long disfala wol olketa save tekem olketa kaen taks long olketa hu nao ya?,0
2,"Ebraham hemi dadi blong Aesak,  an Aesak hemi dadi blong Jekob,  an Jekob hemi dadi blong Jiuda wetem olketa brata blong hem,  an Jiuda hemi dadi blong Peres an Sera, wea mami blong tufala nao Tama,  an Peres hemi dadi blong Hesron,  an Hesron hemi dadi blong Ram,  an Ram hemi dadi blong Aminadab,  an Aminadab hemi dadi blong Nason,  an Nason hemi dadi blong Salmon,  an Salmon hemi dadi blong Boas wea mami blong hem nao Rehab,  an Boas hemi dadi blong Obed wea mami blong hem nao Rut,  an Obed hemi dadi blong Jese,  an Jese hemi dadi blong King Deved.","Eniwan hu hemi kaen long wanfala profet bikos hemi luksave dat man ya hemi profet, God bae hemi blesim hem olsem hemi blesim disfala profet tu.",0
3,"Deved hemi dadi blong Solomon wea mami blong hem nao waef blong Yuraea fastaem,  an Solomon hemi dadi blong Rihoboam,  an Rihoboam hemi dadi blong Abaeja,  an Abaeja hemi dadi blong Asa,  an Asa hemi dadi blong Jehosafat,  an Jehosafat hemi dadi blong Joram,  an Joram hemi dadi blong Yusaea,  an Yusaea hemi dadi blong Jotam,  an Jotam hemi dadi blong Ehas,  an Ehas hemi dadi blong Hesekaea,  an Hesekaea hemi dadi blong Manase,  an Manase hemi dadi blong Emon,  an Emon hemi dadi blong Josaea,  an Josaea hemi dadi blong Jehoeakin wetem olketa brata blong hem, wea olketa stap long taem olketa enemi i tekem olketa pipol blong Israel fo go long kantri long Babilon.","Hemi fitim fo man hu hemi skul fo kamap olsem tisa blong hem nomoa, an fo wakaman fo kamap olsem bos blong hem.",0
4,"Jehoeakin hemi dadi blong Sialtiel hu hemi stap taem olketa pipol blong Israel olketa stap kam long Babilon,  an Sialtiel hemi dadi blong Serababel,  an Serababel hemi dadi blong Abaeud,  an Abaeud hemi dadi blong Elaeakim,  an Elaeakim hemi dadi blong Aso,  an Aso hemi dadi blong Sadok,  an Sadok hemi dadi blong Akim,  an Akim hemi dadi blong Eliud,  an Eliud hemi dadi blong Eleasa,  an Eleasa hemi dadi blong Matan,  an Matan hemi dadi blong Jekob,  an Jekob hemi dadi blong Josef hasban blong Meri,  an Meri nao hemi mami blong Jisas disfala Mesaea ya.","Waswe, hemi oraet long Lo blong yumi fo yumi peim go taks long bikfala King long Rom o nomoa?”  Bat Jisas hemi save finis wea olketa garem ravis tingting nomoa ya, so hemi sei, “?Waswe nao yufala wande fo trikim mi?",0
5,"So stat long Ebraham kam kasem King Deved, hemi garem fotinfala man.","Long taem ya, Jisas hemi no stap long taon long Nasaret moa, bat hemi go stap long taon long Kapaneam wea hemi kolsap long leik long Galili.",0
6,"An stat long King Deved kam kasem taem wea olketa enemi i tekem olketa Israel fo go long Babilon, hemi nara fotinfala man.","Yufala olketa tisa blong Lo an yufala olketa Farasi, yufala lukaot!",0
7,"An stat long taem wea olketa go long Babilon kam kasem taem wea disfala Mesaea hemi bon, hemi garem nara fotinfala man tu.","Bat eniwan hu hemi gohed fo stap strong olowe kasem en, bae God hemi sevem hem.",0
8,Stori abaotem hao Jisas Kraes hemi bon hemi olsem.,An diswan hemi somaot long yufala dat kingdom blong God hemi kam long yufala finis.,0
9,"Taem Meri, mami blong Jisas, olketa mektambu long hem fo hemi maritim Josef an tufala no stap tugeta yet, paoa blong Holi Spirit hemi mekem Meri fo garem pikinini long bele blong hem nao.","Bat olketa nara pipol sei, “!Yumi weit fastaem!",0
