,first,second,label
0,"Dis da di buk a di famili chree a Jeezas Krais, weh kohn dong fahn Aybraham ahn King Dayvid famili lain.",Aybraham son da-mi Aizak.,1
1,Aybraham son da-mi Aizak.,Aizak son da-mi Jaykop.,1
2,Aizak son da-mi Jaykop.,Jaykop son dehn da-mi Jooda ahn ih breda dehn.,1
3,Jaykop son dehn da-mi Jooda ahn ih breda dehn.,"Jooda son dehn da-mi Payres ahn Zera,  ahn fi dehn ma da-mi Taymar.",1
4,"Jooda son dehn da-mi Payres ahn Zera,  ahn fi dehn ma da-mi Taymar.",Payres son da-mi Hezron.,1
5,Payres son da-mi Hezron.,Hezron son da-mi Ram.,1
6,Hezron son da-mi Ram.,Ram son da-mi Aminadab.,1
7,Ram son da-mi Aminadab.,Aminadab son da-mi Nashon.,1
8,Aminadab son da-mi Nashon.,Nashon son da-mi Salmon.,1
9,Nashon son da-mi Salmon.,"Salmon son da-mi Bowaz,  ahn fi hihn ma da-mi Rayhab.",1
10,"Salmon son da-mi Bowaz,  ahn fi hihn ma da-mi Rayhab.","Bowaz son da-mi Obed,  ahn fi hihn ma da-mi Root.",1
11,"Bowaz son da-mi Obed,  ahn fi hihn ma da-mi Root.","Obed son da-mi Jesi,  Jesi son da-mi King Dayvid.",1
12,"Obed son da-mi Jesi,  Jesi son da-mi King Dayvid.","Dayvid son da-mi Salaman,  ahn fi hihn ma da-mi Uraiya waif.",1
13,"Dayvid son da-mi Salaman,  ahn fi hihn ma da-mi Uraiya waif.",Salaman son da-mi Rehobowam.,1
14,Salaman son da-mi Rehobowam.,Rehobowam son da-mi Abija.,1
15,Rehobowam son da-mi Abija.,Abija son da-mi Aysa.,1
16,Abija son da-mi Aysa.,Aysa son da-mi Jehoshafat.,1
17,Aysa son da-mi Jehoshafat.,Jehoshafat son da-mi Joram.,1
18,Jehoshafat son da-mi Joram.,Joram son da-mi Uzaiya.,1
19,Joram son da-mi Uzaiya.,Uzaiya son da-mi Jotam.,1
20,Uzaiya son da-mi Jotam.,Jotam son da-mi Ayhaz.,1
21,Jotam son da-mi Ayhaz.,Ayhaz son da-mi Hezikaiya.,1
22,Ayhaz son da-mi Hezikaiya.,Hezikaiya son da-mi Manaaseh.,1
