,first,second,label
0,"Dis da di buk a di famili chree a Jeezas Krais, weh kohn dong fahn Aybraham ahn King Dayvid famili lain.","Jeezas tel ih disaipl dehn seh, “Lata grayn deh fi pik eena di feel, bot oanli lee bit a peepl deh fi werk.",0
1,Aybraham son da-mi Aizak.,"Di gyaad dehn da di toom  -Now di neks day, weh da-mi di Sabat, di cheef prees ahn di Farisee dehn gaahn da Pailat ahn seh, “Sa, wee jos memba weh da laiyad wan mi seh wen ih mi stil livin.",0
2,Aizak son da-mi Jaykop.,"Jeezas tel dehn seh, “Unu beta main; kyaaful a di Farisee ahn di Sadyusee dehn ees.”  Di disaipl dehn mi-di taak bowt it monks dehnself.",0
3,Jaykop son dehn da-mi Jooda ahn ih breda dehn.,Den fahn Dayvid tu di taim wen Izrel mi ton slayv da Babilan da foateen jenarayshan.,0
4,"Jooda son dehn da-mi Payres ahn Zera,  ahn fi dehn ma da-mi Taymar.","Den Joodas Iskariyat, weh da-mi wan a di twelv disaipl dehn, gaahn da di cheef prees dehn.",0
5,Payres son da-mi Hezron.,"Ih moov fahn Nazaret Tong ahn gaahn gaahn liv da Kapernyam, weh mi deh bai di lagoon eena di ayrya weh Zebyulon ahn Naftali mi deh.",0
6,Hezron son da-mi Ram.,Hihn da-mi di roola oava Gyalilee.,0
7,Ram son da-mi Aminadab.,Dehn du evriting jos fi mek peepl noatis dehn.,0
8,Aminadab son da-mi Nashon.,"Ai ku tel eni wan a mai servant dehn, ‘Du soch ahn soch,’ ahn ih wahn du it.”  Wen Jeezas yehr dis, ih mi sopraiz.",0
9,Nashon son da-mi Salmon.,"Bot sopoaz da servant wikid ahn ih seh tu ihself, ‘Mai baas hihn di tek lang fi kohn.’ Soh ih staat tu beet op di ada servant dehn ahn staat tu eet op ahn jrink op wid ih jronkin fren dehn.",0
10,"Salmon son da-mi Bowaz,  ahn fi hihn ma da-mi Rayhab.","Bot az fi dehn wan weh noh ga notn, eevn weh dehn ga wahn geh tek weh fahn dehn.",0
11,"Bowaz son da-mi Obed,  ahn fi hihn ma da-mi Root.",Da oanli dehn wan weh du weh mai Faada da hevn waahn dehn du.,0
12,"Obed son da-mi Jesi,  Jesi son da-mi King Dayvid.",Now nyooz bowt weh aal Jeezas mi-di du get eena King Herod ayz.,0
13,"Dayvid son da-mi Salaman,  ahn fi hihn ma da-mi Uraiya waif.","Now Ah waahn unu laan wahn lesn fahn di fig chree: wen unu si di branch dehn geh saaf ahn green ahn dehn staat tu put owt leef, unu noa seh dat da nayli taim fi soma.",0
14,Salaman son da-mi Rehobowam.,"Soh da weh unu tink?”  Dehn ansa seh, “Ih dizerv fi ded.”  -Den dehn spit eena Jeezas fays ahn ponch ahn.",0
15,Rehobowam son da-mi Abija.,"Wen wi mi deh da fi wee konchri, wee si di staar weh da-mi di sain dat hihn mi wahn baan, soh wi kohn kohn wership ahn.”  Wen King Herod yehr dis, hihn ahn aala di teecha dehn a di Laa ahn evribadi da Jeroosalem staat tu wori fi chroo chroo.",0
16,Abija son da-mi Aysa.,"Wen dehn don kroosifai ahn, dehn gyambl fi si how dehn mi wahn shayr op ih kloaz monks dehn.",0
17,Aysa son da-mi Jehoshafat.,Mayri da-mi Jeezas ma.,0
