,first,second,label
0,Disfala toktok ya hemi abaotem laen blong Jisas Kraes.,"Jisas hemi bon kam long laen blong King Deved, an Deved hemi bon kam long laen blong Ebraham.",1
1,"Jisas hemi bon kam long laen blong King Deved, an Deved hemi bon kam long laen blong Ebraham.","Ebraham hemi dadi blong Aesak,  an Aesak hemi dadi blong Jekob,  an Jekob hemi dadi blong Jiuda wetem olketa brata blong hem,  an Jiuda hemi dadi blong Peres an Sera, wea mami blong tufala nao Tama,  an Peres hemi dadi blong Hesron,  an Hesron hemi dadi blong Ram,  an Ram hemi dadi blong Aminadab,  an Aminadab hemi dadi blong Nason,  an Nason hemi dadi blong Salmon,  an Salmon hemi dadi blong Boas wea mami blong hem nao Rehab,  an Boas hemi dadi blong Obed wea mami blong hem nao Rut,  an Obed hemi dadi blong Jese,  an Jese hemi dadi blong King Deved.",1
2,"Ebraham hemi dadi blong Aesak,  an Aesak hemi dadi blong Jekob,  an Jekob hemi dadi blong Jiuda wetem olketa brata blong hem,  an Jiuda hemi dadi blong Peres an Sera, wea mami blong tufala nao Tama,  an Peres hemi dadi blong Hesron,  an Hesron hemi dadi blong Ram,  an Ram hemi dadi blong Aminadab,  an Aminadab hemi dadi blong Nason,  an Nason hemi dadi blong Salmon,  an Salmon hemi dadi blong Boas wea mami blong hem nao Rehab,  an Boas hemi dadi blong Obed wea mami blong hem nao Rut,  an Obed hemi dadi blong Jese,  an Jese hemi dadi blong King Deved.","Deved hemi dadi blong Solomon wea mami blong hem nao waef blong Yuraea fastaem,  an Solomon hemi dadi blong Rihoboam,  an Rihoboam hemi dadi blong Abaeja,  an Abaeja hemi dadi blong Asa,  an Asa hemi dadi blong Jehosafat,  an Jehosafat hemi dadi blong Joram,  an Joram hemi dadi blong Yusaea,  an Yusaea hemi dadi blong Jotam,  an Jotam hemi dadi blong Ehas,  an Ehas hemi dadi blong Hesekaea,  an Hesekaea hemi dadi blong Manase,  an Manase hemi dadi blong Emon,  an Emon hemi dadi blong Josaea,  an Josaea hemi dadi blong Jehoeakin wetem olketa brata blong hem, wea olketa stap long taem olketa enemi i tekem olketa pipol blong Israel fo go long kantri long Babilon.",1
3,"Deved hemi dadi blong Solomon wea mami blong hem nao waef blong Yuraea fastaem,  an Solomon hemi dadi blong Rihoboam,  an Rihoboam hemi dadi blong Abaeja,  an Abaeja hemi dadi blong Asa,  an Asa hemi dadi blong Jehosafat,  an Jehosafat hemi dadi blong Joram,  an Joram hemi dadi blong Yusaea,  an Yusaea hemi dadi blong Jotam,  an Jotam hemi dadi blong Ehas,  an Ehas hemi dadi blong Hesekaea,  an Hesekaea hemi dadi blong Manase,  an Manase hemi dadi blong Emon,  an Emon hemi dadi blong Josaea,  an Josaea hemi dadi blong Jehoeakin wetem olketa brata blong hem, wea olketa stap long taem olketa enemi i tekem olketa pipol blong Israel fo go long kantri long Babilon.","Jehoeakin hemi dadi blong Sialtiel hu hemi stap taem olketa pipol blong Israel olketa stap kam long Babilon,  an Sialtiel hemi dadi blong Serababel,  an Serababel hemi dadi blong Abaeud,  an Abaeud hemi dadi blong Elaeakim,  an Elaeakim hemi dadi blong Aso,  an Aso hemi dadi blong Sadok,  an Sadok hemi dadi blong Akim,  an Akim hemi dadi blong Eliud,  an Eliud hemi dadi blong Eleasa,  an Eleasa hemi dadi blong Matan,  an Matan hemi dadi blong Jekob,  an Jekob hemi dadi blong Josef hasban blong Meri,  an Meri nao hemi mami blong Jisas disfala Mesaea ya.",1
4,"Jehoeakin hemi dadi blong Sialtiel hu hemi stap taem olketa pipol blong Israel olketa stap kam long Babilon,  an Sialtiel hemi dadi blong Serababel,  an Serababel hemi dadi blong Abaeud,  an Abaeud hemi dadi blong Elaeakim,  an Elaeakim hemi dadi blong Aso,  an Aso hemi dadi blong Sadok,  an Sadok hemi dadi blong Akim,  an Akim hemi dadi blong Eliud,  an Eliud hemi dadi blong Eleasa,  an Eleasa hemi dadi blong Matan,  an Matan hemi dadi blong Jekob,  an Jekob hemi dadi blong Josef hasban blong Meri,  an Meri nao hemi mami blong Jisas disfala Mesaea ya.","So stat long Ebraham kam kasem King Deved, hemi garem fotinfala man.",1
5,"So stat long Ebraham kam kasem King Deved, hemi garem fotinfala man.","An stat long King Deved kam kasem taem wea olketa enemi i tekem olketa Israel fo go long Babilon, hemi nara fotinfala man.",1
6,"An stat long King Deved kam kasem taem wea olketa enemi i tekem olketa Israel fo go long Babilon, hemi nara fotinfala man.","An stat long taem wea olketa go long Babilon kam kasem taem wea disfala Mesaea hemi bon, hemi garem nara fotinfala man tu.",1
7,"An stat long taem wea olketa go long Babilon kam kasem taem wea disfala Mesaea hemi bon, hemi garem nara fotinfala man tu.",Stori abaotem hao Jisas Kraes hemi bon hemi olsem.,1
8,Stori abaotem hao Jisas Kraes hemi bon hemi olsem.,"Taem Meri, mami blong Jisas, olketa mektambu long hem fo hemi maritim Josef an tufala no stap tugeta yet, paoa blong Holi Spirit hemi mekem Meri fo garem pikinini long bele blong hem nao.",1
9,"Taem Meri, mami blong Jisas, olketa mektambu long hem fo hemi maritim Josef an tufala no stap tugeta yet, paoa blong Holi Spirit hemi mekem Meri fo garem pikinini long bele blong hem nao.","Nao Josef hemi wanfala gudfala man ya, so taem hemi save dat Meri hemi babule finis, hemi no wande fo mekem Meri fo filsem long ae blong evriwan.",1
